from_id,to_id,source,is_derived
person-0266,person-0286,team,True
person-0266,person-0306,team,True
person-0266,person-0311,team,True
person-0266,person-0341,team,True
person-0266,person-0346,team,True
person-0266,person-0366,team,True
person-0266,person-0171,team,True
person-0266,person-0191,team,True
person-0266,person-0211,team,True
person-0266,person-0216,team,True
person-0266,person-0221,team,True
person-0266,person-0256,team,True
person-0266,person-0261,team,True
person-0266,person-0091,team,True
person-0266,person-0096,team,True
person-0266,person-0141,team,True
person-0266,person-0146,team,True
person-0266,person-0151,team,True
person-0266,person-0051,team,True
person-0266,person-0016,team,True
person-0266,person-0021,team,True
person-0266,person-0026,team,True
person-0266,person-0000,team,True
person-0266,person-0380,team,True
person-0286,person-0306,team,True
person-0286,person-0311,team,True
person-0286,person-0341,team,True
person-0286,person-0346,team,True
person-0286,person-0366,team,True
person-0286,person-0171,team,True
person-0286,person-0191,team,True
person-0286,person-0211,team,True
person-0286,person-0216,team,True
person-0286,person-0221,team,True
person-0286,person-0256,team,True
person-0286,person-0261,team,True
person-0286,person-0091,team,True
person-0286,person-0096,team,True
person-0286,person-0141,team,True
person-0286,person-0146,team,True
person-0286,person-0151,team,True
person-0286,person-0051,team,True
person-0286,person-0016,team,True
person-0286,person-0021,team,True
person-0286,person-0026,team,True
person-0286,person-0000,team,True
person-0286,person-0380,team,True
person-0306,person-0311,team,True
person-0306,person-0341,team,True
person-0306,person-0346,team,True
person-0306,person-0366,team,True
person-0306,person-0171,team,True
person-0306,person-0191,team,True
person-0306,person-0211,team,True
person-0306,person-0216,team,True
person-0306,person-0221,team,True
person-0306,person-0256,team,True
person-0306,person-0261,team,True
person-0306,person-0091,team,True
person-0306,person-0096,team,True
person-0306,person-0141,team,True
person-0306,person-0146,team,True
person-0306,person-0151,team,True
person-0306,person-0051,team,True
person-0306,person-0016,team,True
person-0306,person-0021,team,True
person-0306,person-0026,team,True
person-0306,person-0000,team,True
person-0306,person-0380,team,True
person-0311,person-0341,team,True
person-0311,person-0346,team,True
person-0311,person-0366,team,True
person-0311,person-0171,team,True
person-0311,person-0191,team,True
person-0311,person-0211,team,True
person-0311,person-0216,team,True
person-0311,person-0221,team,True
person-0311,person-0256,team,True
person-0311,person-0261,team,True
person-0311,person-0091,team,True
person-0311,person-0096,team,True
person-0311,person-0141,team,True
person-0311,person-0146,team,True
person-0311,person-0151,team,True
person-0311,person-0051,team,True
person-0311,person-0016,team,True
person-0311,person-0021,team,True
person-0311,person-0026,team,True
person-0311,person-0000,team,True
person-0311,person-0380,team,True
person-0341,person-0346,team,True
person-0341,person-0366,team,True
person-0341,person-0171,team,True
person-0341,person-0191,team,True
person-0341,person-0211,team,True
person-0341,person-0216,team,True
person-0341,person-0221,team,True
person-0341,person-0256,team,True
person-0341,person-0261,team,True
person-0341,person-0091,team,True
person-0341,person-0096,team,True
person-0341,person-0141,team,True
person-0341,person-0146,team,True
person-0341,person-0151,team,True
person-0341,person-0051,team,True
person-0341,person-0016,team,True
person-0341,person-0021,team,True
person-0341,person-0026,team,True
person-0341,person-0000,team,True
person-0341,person-0380,team,True
person-0346,person-0366,team,True
person-0346,person-0171,team,True
person-0346,person-0191,team,True
person-0346,person-0211,team,True
person-0346,person-0216,team,True
person-0346,person-0221,team,True
person-0346,person-0256,team,True
person-0346,person-0261,team,True
person-0346,person-0091,team,True
person-0346,person-0096,team,True
person-0346,person-0141,team,True
person-0346,person-0146,team,True
person-0346,person-0151,team,True
person-0346,person-0051,team,True
person-0346,person-0016,team,True
person-0346,person-0021,team,True
person-0346,person-0026,team,True
person-0346,person-0000,team,True
person-0346,person-0380,team,True
person-0366,person-0171,team,True
person-0366,person-0191,team,True
person-0366,person-0211,team,True
person-0366,person-0216,team,True
person-0366,person-0221,team,True
person-0366,person-0256,team,True
person-0366,person-0261,team,True
person-0366,person-0091,team,True
person-0366,person-0096,team,True
person-0366,person-0141,team,True
person-0366,person-0146,team,True
person-0366,person-0151,team,True
person-0366,person-0051,team,True
person-0366,person-0016,team,True
person-0366,person-0021,team,True
person-0366,person-0026,team,True
person-0366,person-0000,team,True
person-0366,person-0380,team,True
person-0171,person-0191,team,True
person-0171,person-0211,team,True
person-0171,person-0216,team,True
person-0171,person-0221,team,True
person-0171,person-0256,team,True
person-0171,person-0261,team,True
person-0171,person-0091,team,True
person-0171,person-0096,team,True
person-0171,person-0141,team,True
person-0171,person-0146,team,True
person-0171,person-0151,team,True
person-0171,person-0051,team,True
person-0171,person-0016,team,True
person-0171,person-0021,team,True
person-0171,person-0026,team,True
person-0171,person-0000,team,True
person-0171,person-0380,team,True
person-0191,person-0211,team,True
person-0191,person-0216,team,True
person-0191,person-0221,team,True
person-0191,person-0256,team,True
person-0191,person-0261,team,True
person-0191,person-0091,team,True
person-0191,person-0096,team,True
person-0191,person-0141,team,True
person-0191,person-0146,team,True
person-0191,person-0151,team,True
person-0191,person-0051,team,True
person-0191,person-0016,team,True
person-0191,person-0021,team,True
person-0191,person-0026,team,True
person-0191,person-0000,team,True
person-0191,person-0380,team,True
person-0211,person-0216,team,True
person-0211,person-0221,team,True
person-0211,person-0256,team,True
person-0211,person-0261,team,True
person-0211,person-0091,team,True
person-0211,person-0096,team,True
person-0211,person-0141,team,True
person-0211,person-0146,team,True
person-0211,person-0151,team,True
person-0211,person-0051,team,True
person-0211,person-0016,team,True
person-0211,person-0021,team,True
person-0211,person-0026,team,True
person-0211,person-0000,team,True
person-0211,person-0380,team,True
person-0216,person-0221,team,True
person-0216,person-0256,team,True
person-0216,person-0261,team,True
person-0216,person-0091,team,True
person-0216,person-0096,team,True
person-0216,person-0141,team,True
person-0216,person-0146,team,True
person-0216,person-0151,team,True
person-0216,person-0051,team,True
person-0216,person-0016,team,True
person-0216,person-0021,team,True
person-0216,person-0026,team,True
person-0216,person-0000,team,True
person-0216,person-0380,team,True
person-0221,person-0256,team,True
person-0221,person-0261,team,True
person-0221,person-0091,team,True
person-0221,person-0096,team,True
person-0221,person-0141,team,True
person-0221,person-0146,team,True
person-0221,person-0151,team,True
person-0221,person-0051,team,True
person-0221,person-0016,team,True
person-0221,person-0021,team,True
person-0221,person-0026,team,True
person-0221,person-0000,team,True
person-0221,person-0380,team,True
person-0256,person-0261,team,True
person-0256,person-0091,team,True
person-0256,person-0096,team,True
person-0256,person-0141,team,True
person-0256,person-0146,team,True
person-0256,person-0151,team,True
person-0256,person-0051,team,True
person-0256,person-0016,team,True
person-0256,person-0021,team,True
person-0256,person-0026,team,True
person-0256,person-0000,team,True
person-0256,person-0380,team,True
person-0261,person-0091,team,True
person-0261,person-0096,team,True
person-0261,person-0141,team,True
person-0261,person-0146,team,True
person-0261,person-0151,team,True
person-0261,person-0051,team,True
person-0261,person-0016,team,True
person-0261,person-0021,team,True
person-0261,person-0026,team,True
person-0261,person-0000,team,True
person-0261,person-0380,team,True
person-0091,person-0096,team,True
person-0091,person-0141,team,True
person-0091,person-0146,team,True
person-0091,person-0151,team,True
person-0091,person-0051,team,True
person-0091,person-0016,team,True
person-0091,person-0021,team,True
person-0091,person-0026,team,True
person-0091,person-0000,team,True
person-0091,person-0380,team,True
person-0096,person-0141,team,True
person-0096,person-0146,team,True
person-0096,person-0151,team,True
person-0096,person-0051,team,True
person-0096,person-0016,team,True
person-0096,person-0021,team,True
person-0096,person-0026,team,True
person-0096,person-0000,team,True
person-0096,person-0380,team,True
person-0141,person-0146,team,True
person-0141,person-0151,team,True
person-0141,person-0051,team,True
person-0141,person-0016,team,True
person-0141,person-0021,team,True
person-0141,person-0026,team,True
person-0141,person-0000,team,True
person-0141,person-0380,team,True
person-0146,person-0151,team,True
person-0146,person-0051,team,True
person-0146,person-0016,team,True
person-0146,person-0021,team,True
person-0146,person-0026,team,True
person-0146,person-0000,team,True
person-0146,person-0380,team,True
person-0151,person-0051,team,True
person-0151,person-0016,team,True
person-0151,person-0021,team,True
person-0151,person-0026,team,True
person-0151,person-0000,team,True
person-0151,person-0380,team,True
person-0051,person-0016,team,True
person-0051,person-0021,team,True
person-0051,person-0026,team,True
person-0051,person-0000,team,True
person-0051,person-0380,team,True
person-0016,person-0021,team,True
person-0016,person-0026,team,True
